IP:PORT, LOSS, DELAY
188.114.98.162:4233,0.00%,58 ms
162.159.195.181:4177,0.00%,160 ms
162.159.195.128:4233,0.00%,163 ms
162.159.192.37:4177,0.00%,163 ms
162.159.192.15:4177,0.00%,164 ms
162.159.192.185:4233,0.00%,164 ms
162.159.195.48:4233,0.00%,165 ms
162.159.192.168:4233,0.00%,166 ms
162.159.195.43:4233,0.00%,166 ms
162.159.192.84:4177,0.00%,166 ms
162.159.192.84:4233,0.00%,168 ms
162.159.192.16:4177,0.00%,170 ms
188.114.96.176:4177,0.00%,190 ms
188.114.99.72:4177,0.00%,192 ms
188.114.99.117:4233,0.00%,201 ms
188.114.96.52:4177,0.00%,201 ms
188.114.96.24:4177,0.00%,201 ms
188.114.96.195:4177,0.00%,202 ms
188.114.98.121:4233,0.00%,202 ms
188.114.96.24:4233,0.00%,204 ms
188.114.98.62:4177,0.00%,205 ms
188.114.97.138:4233,0.00%,205 ms
188.114.99.22:4177,0.00%,205 ms
188.114.99.20:4177,0.00%,205 ms
188.114.99.14:4233,0.00%,206 ms
188.114.98.126:4177,0.00%,206 ms
188.114.96.109:4177,0.00%,206 ms
188.114.96.10:4177,0.00%,206 ms
188.114.96.96:4177,0.00%,207 ms
188.114.97.77:4177,0.00%,212 ms
188.114.97.219:4177,0.00%,217 ms
188.114.99.20:4233,0.00%,220 ms
188.114.97.119:4177,0.00%,222 ms
188.114.99.37:4233,0.00%,222 ms
162.159.195.192:4177,10.00%,243 ms
162.159.192.165:4177,10.00%,243 ms
162.159.195.44:4233,10.00%,245 ms
162.159.195.192:4233,10.00%,245 ms
162.159.192.202:4177,10.00%,245 ms
162.159.195.43:4177,10.00%,245 ms
162.159.195.152:4233,10.00%,246 ms
162.159.192.37:4233,10.00%,248 ms
162.159.195.96:4177,10.00%,248 ms
162.159.192.16:4233,10.00%,248 ms
162.159.195.181:4233,10.00%,250 ms
162.159.195.48:4177,10.00%,250 ms
162.159.195.96:4233,10.00%,251 ms
188.114.97.16:4177,10.00%,267 ms
188.114.98.10:4233,10.00%,271 ms
188.114.99.51:4177,10.00%,271 ms
188.114.96.45:4233,10.00%,271 ms
188.114.98.65:4177,10.00%,271 ms
188.114.96.41:4233,10.00%,274 ms
188.114.97.227:4233,10.00%,281 ms
188.114.99.143:4177,10.00%,281 ms
188.114.96.45:4177,10.00%,282 ms
188.114.99.25:4177,10.00%,282 ms
188.114.98.121:4177,10.00%,282 ms
188.114.97.219:4233,10.00%,283 ms
188.114.99.61:4177,10.00%,284 ms
188.114.99.25:4233,10.00%,284 ms
188.114.99.95:4177,10.00%,285 ms
188.114.99.137:4177,10.00%,285 ms
188.114.99.61:4233,10.00%,285 ms
188.114.99.137:4233,10.00%,285 ms
188.114.97.65:4177,10.00%,285 ms
188.114.99.117:4177,10.00%,285 ms
188.114.99.106:4177,10.00%,286 ms
188.114.97.223:4177,10.00%,286 ms
188.114.99.51:4233,10.00%,290 ms
188.114.97.200:4233,10.00%,291 ms
188.114.98.33:4177,10.00%,295 ms
